wave	45000[g45]	43000[g45]	41000[g45]	39000[g40]	38000[g40]	37000[g40]	36000[g40]	35000[g40]	34000[g40]	33000[g40]	32000[g40]	30000[g40]	25000[g40]	19000[g40]	15000[g40]	12000[g40]	9500[g40]	9250[g40]	8250[g40]	7250[g40]	7000[g40]	6500[g40]	6250[g45]	6000[g45]	5750[g45]	5500[g45]	5250[g45]	4750[g45]	4500[g45]	4250[g45]	4000[g45]
0.00909	3.0577834e-21	8.754386e-23	2.3997237e-24	4.1633234e-26	5.7887303e-27	7.8769726e-28	9.732701e-29	9.941086e-30	8.177486e-31	5.5013776e-32	2.6761088e-33	1.982514e-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.00935	9.43873e-21	2.8870865e-22	8.505766e-24	1.6159795e-25	2.3440173e-26	3.365173e-27	4.4373874e-28	4.850491e-29	4.3074217e-30	3.1330923e-31	1.6470781e-32	1.4444716e-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.00961	2.6992944e-20	8.816224e-22	2.792458e-23	5.773695e-25	8.745125e-26	1.3251304e-26	1.8618023e-27	2.1765972e-28	2.0858852e-29	1.6369837e-30	9.2746875e-32	9.510048e-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.009769999	5.1465384e-20	1.7383186e-21	5.7242884e-23	1.244697e-24	1.9309021e-25	3.015451e-26	4.3914088e-27	5.3315196e-28	5.3289856e-29	4.3635347e-30	2.5821381e-31	2.896353e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0099599995	1.05919734e-19	3.729049e-21	1.288576e-22	2.9679647e-24	4.74295e-25	7.6924804e-26	1.168488e-26	1.4834557e-27	1.5611442e-28	1.344143e-29	8.364025e-31	1.0420795e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0102	2.540998e-19	9.39893e-21	3.4469188e-22	8.512343e-24	1.41053e-24	2.395719e-25	3.8308303e-26	5.1427587e-27	5.7614363e-28	5.272571e-29	3.4911103e-30	4.9300883e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01038	4.7766935e-19	1.8308751e-20	7.016305e-22	1.8214361e-23	3.1034206e-24	5.448863e-25	9.041394e-26	1.2636786e-26	1.4816331e-27	1.4161323e-28	9.802233e-30	1.5171006e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.010559999	8.795219e-19	3.4872998e-20	1.395808e-21	3.804058e-23	6.657841e-24	1.2081214e-24	2.075802e-25	3.0195636e-26	3.697485e-27	3.6856435e-28	2.6649126e-29	4.5056625e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01077	1.7484088e-18	7.205489e-20	3.0296924e-21	8.7266475e-23	1.5756618e-23	2.9647197e-24	5.299421e-25	8.0646045e-26	1.03771355e-26	1.0842104e-27	8.230885e-29	1.5399423e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01104	4.073616e-18	1.7601643e-19	7.8786764e-21	2.4309033e-22	4.5654265e-23	8.982015e-24	1.685422e-24	2.7101353e-25	3.7047577e-26	4.0995002e-27	3.3100151e-28	7.0180083e-31	6.4744277e-38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0114	1.1833685e-17	5.430385e-19	2.6365313e-20	8.890789e-22	1.7584924e-22	3.6570572e-23	7.279614e-24	1.2568546e-24	1.852334e-25	2.2018243e-26	1.9202999e-27	4.7886747e-30	8.30773e-37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01178	3.398758e-17	1.6614349e-18	8.7713444e-20	3.2403504e-21	6.7562567e-22	1.4809243e-22	3.1254133e-23	5.7873932e-24	9.176573e-25	1.1703722e-25	1.102957e-26	3.246245e-29	8.948172e-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.012130001	8.5308136e-17	4.3982124e-18	2.501044e-19	1.00268305e-20	2.1901222e-21	5.015368e-22	1.1108806e-22	2.1842632e-23	3.6841863e-24	4.9880257e-25	5.0309925e-26	1.716709e-28	7.026984e-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01248	2.0268363e-16	1.1035549e-17	6.747851e-19	2.9323385e-20	6.6982344e-21	1.5947588e-21	3.6960196e-22	7.686431e-23	1.3718977e-23	1.9656424e-24	2.114492e-25	8.331446e-28	4.9409816e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.012709999	3.494285e-16	1.9688588e-17	1.2612533e-18	5.7766345e-20	1.3564583e-20	3.308163e-21	7.8780083e-22	1.6965379e-22	3.134478e-23	4.6487538e-24	5.2105495e-25	2.2519011e-27	1.6862454e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.012839999	4.748713e-16	2.7078606e-17	1.7800015e-18	8.390123e-20	2.0014622e-20	4.945664e-21	1.1957128e-21	2.6229527e-22	4.936911e-23	7.4666395e-24	8.556436e-25	3.8926314e-27	3.3140327e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01305	7.5772423e-16	4.4640628e-17	3.061188e-18	1.5127359e-19	3.6972967e-20	9.313318e-21	2.3057242e-21	5.208224e-22	1.0090934e-22	1.5728654e-23	1.8680887e-24	9.2228964e-27	9.607184e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.013239999	1.1438628e-15	6.933912e-17	4.937504e-18	2.5436753e-19	6.352208e-20	1.6273751e-20	4.1114843e-21	9.521332e-22	1.892167e-22	3.028584e-23	3.7108064e-24	1.9712787e-26	2.4506027e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.013389999	1.5759283e-15	9.7668524e-17	7.144271e-18	3.8096434e-19	9.6573795e-20	2.5064447e-20	6.4303203e-21	1.5169083e-21	3.069514e-22	5.0119375e-23	6.29229e-24	3.538818e-26	5.0404957e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.013660001	2.7274313e-15	1.7634681e-16	1.3602481e-17	7.687928e-19	2.0071834e-19	5.325079e-20	1.4023534e-20	3.4199395e-21	7.1529434e-22	1.2101552e-22	1.5846445e-23	9.857588e-26	1.7837776e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01398	5.182658e-15	3.508372e-16	2.8634584e-17	1.7329139e-18	4.670047e-19	1.2654421e-19	3.430028e-20	8.649004e-21	1.8724808e-21	3.296687e-22	4.5294424e-23	3.1654215e-25	7.523129e-31	1.2659609e-38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.014330001	9.9542685e-15	7.1249886e-16	6.1982496e-17	4.033496e-18	1.1246252e-18	3.1252915e-19	8.7222506e-20	2.2775977e-20	5.1112387e-21	9.381871e-22	1.3557648e-22	1.0722916e-24	3.3940457e-30	2.4275113e-37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.014719999	1.9321542e-14	1.4823343e-15	1.3885739e-16	9.7844415e-18	2.8323686e-18	8.099056e-19	2.3336556e-19	6.3273876e-20	1.4771573e-20	2.8386963e-21	4.3313846e-22	3.9178035e-24	1.6836603e-29	2.0132597e-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0151	3.8357812e-14	3.0803679e-15	3.0494973e-16	2.3164801e-17	6.906464e-18	2.016857e-18	5.942828e-19	1.6536775e-19	3.9725788e-20	7.935472e-21	1.2711284e-21	1.3032092e-23	7.457286e-29	1.3788717e-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01552	7.57736e-14	6.4711293e-15	6.8547936e-16	5.6373e-17	1.7386365e-17	5.1992843e-18	1.5749399e-18	4.505492e-19	1.11838e-19	2.331397e-20	3.9344725e-21	4.616115e-23	3.5757465e-28	1.0358922e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01588	1.3288554e-13	1.190949e-14	1.331533e-15	1.1695266e-16	3.7087447e-17	1.1313679e-17	3.5005465e-18	1.0235868e-18	2.6054936e-19	5.6240365e-20	9.9011435e-21	1.2987301e-22	1.2920356e-27	5.366969e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0162	2.313046e-13	2.0469064e-14	2.357635e-15	2.1960004e-16	7.0993795e-17	2.1960006e-17	6.9049998e-18	2.0587504e-18	5.359021e-19	1.1920548e-19	2.1771896e-20	3.1435133e-22	3.8792293e-27	2.1841565e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0166	4.1404618e-13	3.8654064e-14	4.7081293e-15	4.6927674e-16	1.5588912e-16	4.9173472e-17	1.576448e-17	4.7849404e-18	1.2750575e-18	2.9385576e-19	5.6013285e-20	9.070976e-22	1.4535508e-26	1.1741063e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01703	7.254184e-13	7.271892e-14	9.470013e-15	1.0109046e-15	3.4669487e-16	1.1179235e-16	3.6555788e-17	1.1310121e-17	3.0943075e-18	7.3927696e-19	1.4728565e-19	2.6831703e-21	5.651211e-26	6.560486e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.017339999	1.0767782e-12	1.130258e-13	1.5413333e-14	1.7241224e-15	6.044805e-16	1.9811443e-16	6.5684275e-17	2.0569737e-17	5.7311105e-18	1.4040422e-18	2.8831155e-19	5.698384e-21	1.4503382e-25	2.159144e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01768	1.6820328e-12	1.8380378e-13	2.6072752e-14	3.0711411e-15	1.0978437e-15	3.647032e-16	1.2256351e-16	3.8851886e-17	1.1019928e-17	2.7724083e-18	5.870933e-19	1.2629768e-20	3.9349775e-25	7.6027547e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01802	2.561111e-12	2.908512e-13	4.3041495e-14	5.323077e-15	1.9430307e-15	6.551479e-16	2.230089e-16	7.147146e-17	2.0637159e-17	5.327387e-18	1.1628875e-18	2.719726e-20	1.031858e-24	2.558525e-30	4.18174e-38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01817	2.9623931e-12	3.4742386e-13	5.2893616e-14	6.657497e-15	2.4636946e-15	8.408639e-16	2.8887717e-16	9.325403e-17	2.7152351e-17	7.08608e-18	1.5653356e-18	3.7845012e-20	1.5618298e-24	4.3094932e-30	1.088548e-37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01861	5.0898504e-12	6.217046e-13	9.902039e-14	1.3257883e-14	5.0153782e-15	1.7349255e-15	6.0350033e-16	1.9702943e-16	5.857557e-17	1.5758676e-17	3.614198e-18	9.681381e-20	5.100883e-24	1.902258e-29	8.089884e-37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0191	8.647404e-12	1.1292276e-12	1.9088401e-13	2.7184748e-14	1.0585298e-14	3.733424e-15	1.3200148e-15	4.367767e-16	1.3287309e-16	3.6927483e-17	8.802357e-18	2.628408e-19	1.7984353e-23	9.2003954e-29	6.117779e-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01939	1.2096909e-11	1.6039383e-12	2.7856827e-13	4.109156e-14	1.6239002e-14	5.78895e-15	2.0650583e-15	6.8798674e-16	2.1179572e-16	5.991563e-17	1.4602127e-17	4.6401425e-19	3.6869623e-23	2.2527e-28	1.9223307e-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01984	1.9122762e-11	2.666737e-12	4.8747367e-13	7.5759575e-14	3.0690467e-14	1.113927e-14	4.0314546e-15	1.3594925e-15	4.26866e-16	1.241412e-16	3.1244293e-17	1.0857131e-18	1.0815332e-22	8.608378e-28	1.0721286e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.02018	2.5816231e-11	3.8172993e-12	7.286491e-13	1.1740547e-13	4.8529757e-14	1.7870281e-14	6.538382e-15	2.2248663e-15	7.090815e-16	2.103785e-16	5.424868e-17	2.0162174e-18	2.36865e-22	2.286488e-27	3.7697319e-34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0205	3.6035154e-11	5.427586e-12	1.0626466e-12	1.776098e-13	7.4402e-14	2.7623233e-14	1.0192482e-14	3.4930673e-15	1.1279115e-15	3.4060473e-16	8.976435e-17	3.545502e-18	4.8452226e-22	5.5826596e-27	1.1915029e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
