z	zneb	u	offset	age	mass	stars	wciii
0.1	0.1	-3.5	517.2919999999999	7	300	binary	4.34517905692252
0.1	0.1	-3.3	461.944	7	300	binary	6.549086843374892
0.1	0.1	-3.1	418.519	7	300	binary	9.3602152906515
0.1	0.1	-2.8999999999999995	451.716	7	300	binary	12.696754241872894
0.1	0.1	-2.6999999999999997	384.94300000000004	7	300	binary	16.36382012139841
0.1	0.1	-2.499999999999999	375.401	7	300	binary	20.111722259572574
0.1	0.1	-2.299999999999999	407.962	7	300	binary	23.691795380421077
0.1	0.1	-2.0999999999999988	160.078	7	300	binary	26.74830196602305
0.1	0.1	-1.8999999999999984	121.906	7	300	binary	28.937398787424357
0.1	0.1	-1.6999999999999984	104.47	7	300	binary	30.20700282117105
0.1	0.1	-1.4999999999999982	95.41	7	300	binary	30.590249727064073
0.1	0.3	-3.5		7	300	binary	4.613107125307566
0.1	0.3	-3.3		7	300	binary	6.633423928485365
0.1	0.3	-3.1		7	300	binary	8.899904570226166
0.1	0.3	-2.8999999999999995		7	300	binary	11.271120251538889
0.1	0.3	-2.6999999999999997		7	300	binary	13.605511361402964
0.1	0.3	-2.499999999999999	1081.128	7	300	binary	15.804324848093398
0.1	0.3	-2.299999999999999	445.944	7	300	binary	17.77607984445176
0.1	0.3	-2.0999999999999988	375.69800000000004	7	300	binary	19.429811142347344
0.1	0.3	-1.8999999999999984		7	300	binary	20.569765353273155
0.1	0.3	-1.6999999999999984	189.737	7	300	binary	21.34024604637147
0.1	0.3	-1.4999999999999982	141.13	7	300	binary	21.753586706215067
0.1	0.5	-3.5		7	300	binary	2.740188853682226
0.1	0.5	-3.3		7	300	binary	3.989539585548795
0.1	0.5	-3.1		7	300	binary	5.361664920765907
0.1	0.5	-2.8999999999999995		7	300	binary	6.765961447640725
0.1	0.5	-2.6999999999999997		7	300	binary	8.153682072990598
0.1	0.5	-2.499999999999999		7	300	binary	9.445849351665093
0.1	0.5	-2.299999999999999		7	300	binary	10.634663060180493
0.1	0.5	-2.0999999999999988		7	300	binary	11.666962705575155
0.1	0.5	-1.8999999999999984	492.87300000000005	7	300	binary	12.479740550755647
0.1	0.5	-1.6999999999999984	451.19	7	300	binary	13.081006657092571
0.1	0.5	-1.4999999999999982	412.42199999999997	7	300	binary	13.561750207472588
0.2	0.2	-3.5	437.861	7	300	binary	4.0363376956753925
0.2	0.2	-3.3	468.93800000000005	7	300	binary	5.887430835732911
0.2	0.2	-3.1	474.316	7	300	binary	8.073505193625184
0.2	0.2	-2.8999999999999995	536.984	7	300	binary	10.44285492630692
0.2	0.2	-2.6999999999999997	419.881	7	300	binary	12.793971269100831
0.2	0.2	-2.499999999999999	414.106	7	300	binary	15.047854606698824
0.2	0.2	-2.299999999999999	459.38599999999997	7	300	binary	17.091960824351958
0.2	0.2	-2.0999999999999988	426.135	7	300	binary	18.8422581789184
0.2	0.2	-1.8999999999999984	415.76099999999997	7	300	binary	20.117126413333082
0.2	0.2	-1.6999999999999984	424.654	7	300	binary	20.988429244780306
0.2	0.2	-1.4999999999999982	648.524	7	300	binary	21.484727016202957
0.2	0.3	-3.5	469.56800000000004	7	300	binary	3.4171537521470987
0.2	0.3	-3.3	453.26	7	300	binary	4.939810301826551
0.2	0.3	-3.1	419.51599999999996	7	300	binary	6.646846619081187
0.2	0.3	-2.8999999999999995	476.80400000000003	7	300	binary	8.408439446259113
0.2	0.3	-2.6999999999999997	1083.978	7	300	binary	10.123838668384508
0.2	0.3	-2.499999999999999	460.039	7	300	binary	11.745073397246436
0.2	0.3	-2.299999999999999	413.11	7	300	binary	13.203499830966003
0.2	0.3	-2.0999999999999988	503.279	7	300	binary	14.453210475358896
0.2	0.3	-1.8999999999999984	424.874	7	300	binary	15.394646137291371
0.2	0.3	-1.6999999999999984	528.32	7	300	binary	16.085934363107377
0.2	0.3	-1.4999999999999982	440.17400000000004	7	300	binary	16.559725628121473
0.2	0.5	-3.5	427.49800000000005	7	300	binary	1.9152374967642634
0.2	0.5	-3.3	461.81699999999995	7	300	binary	2.8083140434087426
0.2	0.5	-3.1	442.04	7	300	binary	3.799735288637174
0.2	0.5	-2.8999999999999995	507.695	7	300	binary	4.788948587786319
0.2	0.5	-2.6999999999999997	427.093	7	300	binary	5.741494667728951
0.2	0.5	-2.499999999999999	519.5840000000001	7	300	binary	6.643399460605869
0.2	0.5	-2.299999999999999	487.149	7	300	binary	7.460648996559014
0.2	0.5	-2.0999999999999988	415.75300000000004	7	300	binary	8.179539452363848
0.2	0.5	-1.8999999999999984	473.675	7	300	binary	8.76333078393408
0.2	0.5	-1.6999999999999984	476.806	7	300	binary	9.215034515277445
0.2	0.5	-1.4999999999999982	475.361	7	300	binary	9.60638381337548
0.3	0.3	-3.5	519.12	7	300	binary	2.36197223762126
0.3	0.3	-3.3	436.98900000000003	7	300	binary	3.3923681312797473
0.3	0.3	-3.1	526.732	7	300	binary	4.562770696110879
0.3	0.3	-2.8999999999999995	456.006	7	300	binary	5.764590817717899
0.3	0.3	-2.6999999999999997		7	300	binary	6.925962739595489
0.3	0.3	-2.499999999999999		7	300	binary	8.010366936062141
0.3	0.3	-2.299999999999999		7	300	binary	9.005588662978939
0.3	0.3	-2.0999999999999988		7	300	binary	9.862477669841109
0.3	0.3	-1.8999999999999984	475.556	7	300	binary	10.558072590227344
0.3	0.3	-1.6999999999999984	480.977	7	300	binary	11.057941848661722
0.3	0.3	-1.4999999999999982	486.582	7	300	binary	11.45257614440183
0.3	0.5	-3.5	503.14300000000003	7	300	binary	1.2813863157781786
0.3	0.5	-3.3	432.342	7	300	binary	1.8507260565742891
0.3	0.5	-3.1	501.349	7	300	binary	2.4981362524574444
0.3	0.5	-2.8999999999999995	531.48	7	300	binary	3.1398906821000425
0.3	0.5	-2.6999999999999997	493.334	7	300	binary	3.755132275711402
0.3	0.5	-2.499999999999999	503.121	7	300	binary	4.321913855741611
0.3	0.5	-2.299999999999999	620.34	7	300	binary	4.840267723063857
0.3	0.5	-2.0999999999999988	526.7919999999999	7	300	binary	5.300185648902069
0.3	0.5	-1.8999999999999984		7	300	binary	5.68444264471237
0.3	0.5	-1.6999999999999984		7	300	binary	5.989618621865349
0.3	0.5	-1.4999999999999982		7	300	binary	6.252471116338455
0.5	0.3	-3.5	601.429	7	300	binary	1.764223648581202
0.5	0.3	-3.3	600.493	7	300	binary	2.48167232352854
0.5	0.3	-3.1	600.371	7	300	binary	3.3014685952619067
0.5	0.3	-2.8999999999999995	1086.828	7	300	binary	4.140702453812976
0.5	0.3	-2.6999999999999997	599.804	7	300	binary	4.9307674321570225
0.5	0.3	-2.499999999999999	1082.7910000000002	7	300	binary	5.654644751894093
0.5	0.3	-2.299999999999999	596.92	7	300	binary	6.306184734455427
0.5	0.3	-2.0999999999999988	575.9580000000001	7	300	binary	6.873367755291538
0.5	0.3	-1.8999999999999984	569.188	7	300	binary	7.357119794943763
0.5	0.3	-1.6999999999999984	686.1089999999999	7	300	binary	7.724233811870191
0.5	0.3	-1.4999999999999982	573.23	7	300	binary	8.029506203567877
0.5	0.5	-3.5		7	300	binary	0.9810815954628329
0.5	0.5	-3.3		7	300	binary	1.3626725935044754
0.5	0.5	-3.1		7	300	binary	1.7957084191819372
0.5	0.5	-2.8999999999999995		7	300	binary	2.219668355351031
0.5	0.5	-2.6999999999999997		7	300	binary	2.6134476569430594
0.5	0.5	-2.499999999999999		7	300	binary	2.9613768764221797
0.5	0.5	-2.299999999999999		7	300	binary	3.2683428422813816
0.5	0.5	-2.0999999999999988	604.089	7	300	binary	3.5386523099325027
0.5	0.5	-1.8999999999999984	603.055	7	300	binary	3.7718465482584635
0.5	0.5	-1.6999999999999984	598.443	7	300	binary	3.9596958850259445
0.5	0.5	-1.4999999999999982	596.722	7	300	binary	4.115971762454592
0.1	0.1	-3.5		7	100	binary	3.352095094508658
0.1	0.1	-3.3		7	100	binary	5.072606773002384
0.1	0.1	-3.1		7	100	binary	7.2635770943103335
0.1	0.1	-2.8999999999999995		7	100	binary	9.859242190381632
0.1	0.1	-2.6999999999999997		7	100	binary	12.717119713409156
0.1	0.1	-2.499999999999999		7	100	binary	15.626350148367989
0.1	0.1	-2.299999999999999	455.48400000000004	7	100	binary	18.40284049701384
0.1	0.1	-2.0999999999999988	389.167	7	100	binary	20.819595059388348
0.1	0.1	-1.8999999999999984	385.587	7	100	binary	22.63690795254258
0.1	0.1	-1.6999999999999984	133.293	7	100	binary	23.77240705871781
0.1	0.1	-1.4999999999999982	111.74	7	100	binary	24.28433611937843
0.1	0.3	-3.5		7	100	binary	3.296110485623047
0.1	0.3	-3.3		7	100	binary	4.751867615159163
0.1	0.3	-3.1		7	100	binary	6.401260009724766
0.1	0.3	-2.8999999999999995		7	100	binary	8.109470665865553
0.1	0.3	-2.6999999999999997		7	100	binary	9.797280185097097
0.1	0.3	-2.499999999999999		7	100	binary	11.387646908809687
0.1	0.3	-2.299999999999999		7	100	binary	12.830313542361601
0.1	0.3	-2.0999999999999988		7	100	binary	14.050641298677004
0.1	0.3	-1.8999999999999984		7	100	binary	14.964141008747182
0.1	0.3	-1.6999999999999984	491.69	7	100	binary	15.587369974057658
0.1	0.3	-1.4999999999999982		7	100	binary	15.994816984600767
0.1	0.5	-3.5		7	100	binary	1.864091980176601
0.1	0.5	-3.3		7	100	binary	2.726274369117369
0.1	0.5	-3.1		7	100	binary	3.6828905797248197
0.1	0.5	-2.8999999999999995		7	100	binary	4.657935840167067
0.1	0.5	-2.6999999999999997		7	100	binary	5.607748604463087
0.1	0.5	-2.499999999999999		7	100	binary	6.508842336888749
0.1	0.5	-2.299999999999999		7	100	binary	7.338461538461553
0.1	0.5	-2.0999999999999988		7	100	binary	8.066589128553137
0.1	0.5	-1.8999999999999984		7	100	binary	8.648636721732712
0.1	0.5	-1.6999999999999984		7	100	binary	9.10807000105227
0.1	0.5	-1.4999999999999982		7	100	binary	9.48183729590605
0.2	0.2	-3.5	435.775	7	100	binary	2.9875970781678376
0.2	0.2	-3.3	483.913	7	100	binary	4.373774457999708
0.2	0.2	-3.1	430.207	7	100	binary	6.005891241753886
0.2	0.2	-2.8999999999999995	456.349	7	100	binary	7.765679291518225
0.2	0.2	-2.6999999999999997	454.20300000000003	7	100	binary	9.513934795201703
0.2	0.2	-2.499999999999999	522.198	7	100	binary	11.192656745951195
0.2	0.2	-2.299999999999999	502.23	7	100	binary	12.706782282373997
0.2	0.2	-2.0999999999999988	419.94599999999997	7	100	binary	14.020021139097416
0.2	0.2	-1.8999999999999984	430.407	7	100	binary	15.026051031308704
0.2	0.2	-1.6999999999999984	415.776	7	100	binary	15.72716066960935
0.2	0.2	-1.4999999999999982	426.50699999999995	7	100	binary	16.210465398018982
0.2	0.3	-3.5	484.991	7	100	binary	2.45856711705615
0.2	0.3	-3.3	465.67	7	100	binary	3.5557715570986432
0.2	0.3	-3.1	452.152	7	100	binary	4.798680866794109
0.2	0.3	-2.8999999999999995	402.983	7	100	binary	6.07740336976326
0.2	0.3	-2.6999999999999997	527.602	7	100	binary	7.321023719787755
0.2	0.3	-2.499999999999999	452.44	7	100	binary	8.485392062303383
0.2	0.3	-2.299999999999999	1066.708	7	100	binary	9.546216554752675
0.2	0.3	-2.0999999999999988	451.55699999999996	7	100	binary	10.459358736598013
0.2	0.3	-1.8999999999999984	476.009	7	100	binary	11.176322842305893
0.2	0.3	-1.6999999999999984	495.958	7	100	binary	11.70589881938539
0.2	0.3	-1.4999999999999982	486.077	7	100	binary	12.107650257439206
0.2	0.5	-3.5	507.148	7	100	binary	1.3242074422402867
0.2	0.5	-3.3	444.811	7	100	binary	1.9408042725155965
0.2	0.5	-3.1	463.12699999999995	7	100	binary	2.6336842097268933
0.2	0.5	-2.8999999999999995	527.13	7	100	binary	3.3289937453674012
0.2	0.5	-2.6999999999999997	470.536	7	100	binary	3.9913875660997555
0.2	0.5	-2.499999999999999	500.56300000000005	7	100	binary	4.603974393404978
0.2	0.5	-2.299999999999999	460.26800000000003	7	100	binary	5.17423625125728
0.2	0.5	-2.0999999999999988	448.36199999999997	7	100	binary	5.6810095925850845
0.2	0.5	-1.8999999999999984	412.42199999999997	7	100	binary	6.088336540366463
0.2	0.5	-1.6999999999999984	422.185	7	100	binary	6.425661841271678
0.2	0.5	-1.4999999999999982	447.596	7	100	binary	6.701492545248696
0.3	0.3	-3.5		7	100	binary	1.71906575639259
0.3	0.3	-3.3		7	100	binary	2.4518152276635456
0.3	0.3	-3.1		7	100	binary	3.2902532501127064
0.3	0.3	-2.8999999999999995		7	100	binary	4.156840285994473
0.3	0.3	-2.6999999999999997		7	100	binary	4.9827998162546265
